PO_NUMBER,SO_NUMBER,STATUS,BLOCK_CODE,BLOCK_REASON,FAILURE_REASON,RFC_ERROR_CODE,RFC_MESSAGE,SALES_ORG,CUSTOMER_NAME,SOURCE_FILE,RUN_TIMESTAMP,_extracted_at,_source_table
P00QJXN,0001536631,SUCCESS,,,,,,2710,ASAHI KASEI ADVANCE CORPORATION ASAHI KASEI ADVANCE CORPORATIONPerformance Plast,注文書_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
11965102,0001536508,SUCCESS,,,,,,2545,Ravago Italia SpA,Purchase Order  (11965102).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1210800981N,0001536632,SUCCESS,,,,,,2730,Fuyu Electronical Technology (Huaian),7dba81c3-caee-4880-9a80-e747fa72affe.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
14029941,0001536509,SUCCESS,,,,,,2500,Stigma UAB,Purchase order 14945 (1).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
2354,0001536633,SUCCESS,,,,,,2545,Ergotech SRL,Sold-to 4020000140 - Material 944.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
26003731,0001536652,SUCCESS,,,,,,2540,UFI FILTERS Czech s.r.o,26003731_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
37534,0001536634,SUCCESS,,,,,,2500,STEBRO PLAST AB,Sold-to 4020032023 - Material 28645.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
4500218243,0001536701,SUCCESS,,,,,,2545,GEWISS S.p.A,ORDINE 4500218243.PDF,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
460031761,0001536510,SUCCESS,,,,,,2700,NAGASE SINGAPORE (PTE) LTD,460031761 POCAN BF4239-700350 S103 (3).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
97,0001536635,SUCCESS,,,,,,2500,Sistema SRL,PO_DEUTSCHE.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
CSG0152081,0001536636,SUCCESS,,,,,,2720,INABATA SINGAPORE (PTE.) LTD,CSG0152081 (1).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
M01Y-010-05326009,0001536511,SUCCESS,,,,,,2780,"LS ELECTRIC Co., Ltd.",IMPORT_PO_M01Y-010-05326009 (1).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
PH601610B,0001536637,SUCCESS,,,,,,2600,PASS & SEYMOUR/LEGRAND,body_AAMkAGEz_FW_ PH601610B Rel. 630.txt,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
PO2607000019,0001536443,SUCCESS,,,,,,2760,"Valeo Samsung Thermal Systems Co., Ltd.",[우주테크] 삼성발레오_20260714 납기 발주건 (1)_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
VO-2026-311-000270,0001536638,SUCCESS,,,,,,2540,CEGAN s.r.o,VO-2026-311-000270.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
10906218,0001536838,SUCCESS,,,,,,2540,Bischof + Klein SE & Co. KG,B+K_Bestellung_10906218.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
121020152933,0001536598,SUCCESS,,,,,,2710,FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO,c4ffd356-40bb-41e9-8115-269014d5b92d.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1235,0001536639,SUCCESS,,,,,,2545,Ergotech SRL,Sold-to 4020000140 - Material 44240.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
26/312,0001536839,SUCCESS,,,,,,2540,"Blow Molding System, S.L",PO 26-312.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
4406342278,0001536840,SUCCESS,,,,,,2540,A. Schulman GmbH,Purchase Order 4406342278.PDF,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
4500289843,0001536640,SUCCESS,,,,,,2500,Wipak Walsrode GmbH,Wipak Walsrode (Sold-to 4020036739 - Material 38779) - ORDER TYPE KB.PDF,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
52037575,0001536723,SUCCESS,,,,,,2540,SIG Procurement AG,PO 52037575.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
EB022867,0001536641,SUCCESS,,,,,,2540,Erwin Quarder CZ s.r.o,DOC270726-27072026093722.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
10260859,0001536339,SUCCESS,,,,,,2540,Gaudlitz Precision s.r.o,"10260859 - Envalior Deutschland GmbH, G0000559-00 Durethan BKV140 H2.0 900051 DU",2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
